,x,y,z
611.1,6.945995,-7.5404825,3.5123026
648.13,-4.201615,1.8471951,-11.206853
V45.4,2.967052,1.7516114,3.676155
494,-2.5616865,3.671969,5.1626325
V15.29,3.8311217,1.7754679,-0.669556
V14.9,2.9843597,3.6469069,-0.61532366
V14.6,4.925468,2.770755,-1.8075806
V72.60,-0.7568008,1.3031957,-0.92319024
634.91,-2.9868717,-4.5153923,-9.260561
647.64,0.12910482,5.770389,-5.8526454
585.2,-2.0750117,-0.7533976,6.6729813
585.1,-2.4504883,-0.23802558,7.4214616
V23.81,-3.0596533,1.3336829,-11.668367
642.52,-1.3480278,7.9871535,-9.599665
649.13,-4.1327505,2.0943203,-12.556498
649.03,-3.5033422,0.6869388,-9.0755415
649.04,0.122548066,6.8878894,-6.8276105
V23.83,-2.580042,0.89179623,-10.400045
611.72,5.973867,-7.426223,2.755822
V73.98,-3.1279798,-4.7381177,-3.0065324
616.89,-3.674991,-9.360919,1.407065
493.91,-4.5988164,3.5323877,4.5165367
519.11,-4.0574102,3.7234733,3.5650542
V12.72,2.4295597,-2.162063,1.983016
V85.37,9.873478,3.9653711,2.905853
295.82,-5.932938,5.2409153,-0.35412934
V26.29,0.720691,-3.5121338,-4.854094
V45.74,2.8790793,0.9431249,9.663611
642.4,-0.27265257,4.918484,-5.810059
462,-4.2913256,1.1105899,1.7389809
624.9,-2.8452199,-10.075219,1.7718352
626.3,-1.9303972,-7.340043,-4.1622057
626.5,-1.6504561,-7.284755,-2.9242206
627.9,1.3846849,-6.3604093,0.0056296038
626.7,-1.8530922,-8.274561,-1.7430164
627.3,0.5012556,-6.6868405,1.8012033
839.21,-5.8832283,-0.70171493,3.8704221
623.9,-2.50749,-8.519024,1.2012606
V05.9,-4.0743294,-0.17332092,-3.1100166
V67.2,4.0630064,-1.966367,1.1490291
V15.52,2.9412565,4.835519,1.9587318
643.21,-0.13240495,7.233554,-9.319456
592,6.1678014,1.4503404,9.128786
625.6,2.4279876,-5.2357187,7.6854396
518.82,-1.3064389,5.2597466,5.445284
V15.1,2.377353,2.6002827,-4.4544263
611.82,7.572433,-7.263392,4.1869903
V14.7,5.1282177,5.070574,-0.90367794
V45.87,-2.3865788,1.4023905,8.784165
614.4,-0.43887782,-9.693233,-8.131687
634.92,-3.1601334,-4.294866,-8.690002
648.92,-0.17216171,5.478891,-9.45049
648.81,-1.7933964,5.538974,-11.405342
648.84,-1.443426,5.3905635,-6.2161593
648.83,-3.3921251,3.1322262,-12.502467
648.94,-0.15954682,6.4118257,-7.81863
311,-2.5124936,2.684899,-0.022909548
V15.7,-3.5064003,-5.4540367,-1.1726282
V15.89,-0.5088101,3.403605,6.2469068
V12.55,5.396966,3.0843313,1.7436329
642.51,-2.0889668,6.592458,-9.597464
593.9,-0.59924173,-0.030549208,6.5894966
V74.2,-2.0425527,-3.8847814,-1.9085643
V71.4,0.28938097,4.829397,0.68937504
V70.9,-1.7883872,-1.0580815,-1.4430796
V71.09,-4.781736,4.8948264,-1.8078231
618.89,2.4558403,-2.8086672,4.831072
616.5,-3.2584958,-9.5091,2.222514
616.11,-2.0608125,-8.265636,2.2428527
614.8,0.47938716,-7.8561873,-6.6605926
579.8,0.4177467,-3.1163251,0.021284126
745.5,2.1045473,2.593912,-4.686065
627.1,0.4009412,-9.017946,-2.3130283
V44.8,0.37581816,4.4018455,8.532756
519.9,-2.3295789,4.4740896,4.476059
300.3,-3.3884637,3.9074435,-0.87293917
V45.51,-3.4025202,-7.4211245,-3.1681435
723.1,-4.6492324,-0.5026017,3.324864
296.34,-4.783239,5.006068,-0.7595355
V67.6,6.1480064,-3.2463534,1.5258862
V68.9,-2.600325,1.4422446,-3.4390888
610.3,7.3398976,-8.994698,3.7302084
610.2,6.019136,-8.919487,3.3768237
627.4,1.6066577,-7.4412146,-0.1517389
627.2,1.4285512,-6.878199,0.7091346
V26.0,1.6520935,-5.14977,-6.059346
621.9,-0.17498991,-8.94982,-3.5274272
646.9,-1.8437014,-2.5500813,-5.4002604
V65.3,7.892677,6.3628564,3.6380458
640.03,-3.1686933,-3.486771,-8.392306
621.2,0.1987685,-7.9398847,-3.7839077
587,-0.24121149,-0.27383476,7.425606
E000.8,1.2042938,5.4242663,0.9016591
V87.2,-2.4069638,4.7361073,1.5402222
518.83,-1.6138189,5.6520095,7.212712
518.84,-1.7627504,6.334405,6.3228984
721.42,-3.202634,-0.51091814,3.8685374
V85.54,1.5981514,7.7710214,-1.8563141
786.52,-2.0986996,2.7400217,2.1208224
618.9,2.9339876,-6.0077987,8.278934
618.2,2.4195576,-7.299189,8.614753
618.4,2.5870535,-6.724426,9.469821
V45.79,4.7802753,1.1881297,-0.51798475
V46.3,3.3714116,3.3921933,6.9151034
617.9,0.39929396,-8.449651,-5.632492
847.1,-5.437862,-0.4268815,2.7339728
746.1,2.80266,2.4757564,-6.0550156
V72.61,-6.080608,0.45249265,-3.9765136
V85.22,7.970283,5.275478,2.468184
V85.23,8.511796,5.088857,3.583164
V85.21,7.041203,4.8964257,3.90217
V85.24,7.2987466,4.5168176,2.981103
V85.25,8.05247,4.325167,4.254794
682.7,-1.1554985,-0.49616042,3.8312664
518,-2.8687444,5.740989,7.7913465
590.9,1.0285078,3.371064,6.5171866
V26.81,1.1108925,-3.0015733,-5.43144
V76.19,4.234129,-6.693208,0.93590885
V76.12,2.4482944,-6.04888,1.3528119
V76.11,3.574278,-5.7795067,1.0364205
V10.44,5.5983086,-2.5463965,-0.8071688
V10.43,5.197775,-2.3773484,-0.12997076
V76.46,3.4000587,-5.7182007,-1.0656738
V25.9,-4.778117,-5.5333724,-2.6477334
V67.59,2.6811335,0.39526507,0.88855296
515,-2.280504,5.7611623,3.864646
795,-1.821019,-2.553515,0.58376193
590.8,0.69879204,0.32922778,6.765572
596.7,4.026733,-0.78291875,9.6248455
596.59,3.0884185,-2.8342083,7.553929
596.1,2.0451572,1.4033453,9.524384
V15.59,2.5700107,4.6953955,1.0412203
V23.85,-5.0604706,3.3566399,-10.149018
789.02,1.146674,-1.8013836,-0.39465666
366.12,-2.4876995,-2.3868198,3.0438092
648.74,-0.16466035,4.825596,-5.2368927
644.2,-6.3335366,1.0435746,-10.662931
626.8,-0.8223664,-7.8712416,-3.294382
564.1,0.17368256,-1.8638053,0.6470963
518.1,-1.7022557,6.9073734,4.5436254
V12.2,-0.059244607,0.6151204,1.2529565
V11.9,-3.9725146,6.1042633,-1.6370289
599.71,5.090133,-0.94022363,8.618651
786.09,-2.3351445,3.8422198,3.5563018
V46.2,-2.5973055,5.9381323,5.346773
V12.50,-0.15733099,1.8050251,2.4782486
V12.70,2.1950605,-1.425829,0.50778353
648.43,-4.4717736,1.5837668,-8.629265
648.44,-1.4472908,6.3844156,-6.1760817
386.11,-2.6091218,-0.42408055,2.2435865
V45.83,4.9325843,-5.841864,3.6636953
V72.9,-0.7081846,-0.062257607,-1.6660603
V70.3,-4.08127,0.77966964,-3.199346
V73.89,-1.7596252,-4.1167655,-2.1256082
618.02,1.0806054,-6.309897,8.681086
516.31,-3.8909278,6.7396464,4.864539
642.71,-2.0922832,7.181176,-10.7172365
642.91,-1.0985389,6.594129,-11.498541
595.1,-0.65331054,-7.987303,3.8566093
585.6,-2.986524,0.3703477,8.849775
584.9,0.63621444,2.7485452,6.9642024
518.89,-1.3673363,4.9745283,3.2199106
521.02,5.1110086,-0.9115645,-5.6655474
593.3,5.233159,0.690824,9.827722
V54.89,2.8611815,4.679644,6.701299
V65.49,-0.7636889,1.7590249,-2.4198484
V69.8,-4.91256,3.0546148,-0.53227866
V74.1,-4.0659504,0.28379363,-4.009422
581.81,-1.6596699,-0.033706445,8.90013
E927.9,-6.900015,0.4697058,1.7719421
648.11,-0.6443648,5.053173,-11.669928
V10.83,-3.597232,-3.5012252,4.4859867
V10.72,4.2239804,0.37068543,0.60587114
599.72,5.133036,-1.6462004,8.468275
V58.81,1.1196693,3.8880053,3.7439559
