,x,y,z
611.1,9.944865,-21.86656,39.46012
648.13,-15.402543,-39.36375,-14.321137
V45.4,0.9478555,20.781641,36.50732
494,0.5308257,22.75751,-14.182494
V15.29,12.351917,5.29984,14.426694
V14.9,12.260092,30.196743,10.476242
V14.6,17.697887,19.625437,22.64996
V72.60,-5.1425705,-3.603562,-1.305049
634.91,9.085472,-45.873672,-8.183341
647.64,-23.078209,0.7913107,-12.10596
585.2,-2.9992683,37.9721,-3.9424577
585.1,5.407482,38.769913,-7.52744
V23.81,-5.465652,-40.694862,-17.867798
642.52,-40.303005,-10.498118,-9.693786
649.13,-18.03951,-32.12747,-21.202448
649.03,-1.8065323,-25.029156,-28.346033
649.04,-33.912586,3.3286605,-14.140066
V23.83,-6.6114626,-23.425917,-18.686218
611.72,1.9356549,-28.562399,34.86265
V73.98,11.373326,-27.947874,15.835758
616.89,-35.423447,1.2368156,0.4429869
493.91,-11.07781,30.360968,-16.366987
519.11,-5.8493237,27.405193,-23.120129
V12.72,-17.05725,25.684856,17.267708
V85.37,35.299107,-2.193129,13.608742
295.82,18.847265,3.4601107,-42.987938
V26.29,25.808807,-29.394222,0.991297
V45.74,40.29234,30.483717,13.3295555
642.4,-19.35641,-8.055315,-14.762637
462,39.238163,-15.848628,-12.392636
624.9,-42.811424,2.9823022,3.970018
626.3,5.13698,-23.797285,6.180696
626.5,-1.5359571,-24.661139,13.525049
627.9,-11.417478,-7.989875,20.81298
626.7,-12.008367,-26.45753,10.448942
627.3,-25.419401,-10.532651,15.167518
839.21,1.2818911,13.146278,51.054432
623.9,-31.406046,-6.5066857,3.5722153
V05.9,-23.62564,19.380114,-26.577652
V67.2,-5.8395743,4.111892,25.110363
V15.52,27.611153,16.47328,28.25604
643.21,-44.150047,-5.591708,-16.688086
592,39.2261,1.9811633,-4.442821
625.6,-34.444847,-13.5446825,25.346617
518.82,18.47334,22.14873,-20.094643
V15.1,-1.0121686,40.62812,13.148401
611.82,16.48589,-22.05983,34.27778
V14.7,18.502663,32.762,24.452665
V45.87,20.295557,44.261795,-16.464582
614.4,45.70087,26.30324,-6.475813
634.92,13.232456,-47.28809,-14.092073
648.92,-31.409655,-9.576969,-27.13784
648.81,-35.031826,-25.611938,-19.65552
648.84,-11.657601,-10.0108385,-19.855045
648.83,-26.31141,-35.81237,-16.407755
648.94,-28.54558,-0.63863677,-21.285088
311,9.167969,0.96927214,-6.8346853
V15.7,-25.111227,-17.86348,5.382439
V15.89,7.2843986,5.4368978,-24.962154
V12.55,24.498304,6.9284945,22.233276
642.51,-36.445335,-18.804045,-11.175694
593.9,6.2454033,28.94365,-5.924845
V74.2,-19.419037,-9.155403,1.7596645
V71.4,16.269442,14.995412,40.056652
V70.9,18.064592,-9.211579,44.917973
V71.09,6.5050178,2.1705487,-37.831352
618.89,-9.809829,2.526112,15.789857
616.5,-42.271427,-4.5511694,2.7875633
616.11,-33.90727,-4.4788594,10.811487
614.8,2.02397,-24.074766,-10.812068
579.8,-23.47086,18.939253,-0.064808264
745.5,-8.989174,36.592,14.000671
627.1,-14.539992,-38.298996,4.49927
V44.8,39.523247,19.596134,-20.94171
519.9,3.8216655,13.332123,-16.631325
300.3,10.023627,-8.874267,-25.396261
V45.51,5.8524413,-46.405468,10.112928
723.1,3.8730075,8.641098,34.80353
296.34,13.33674,-3.8519907,-31.384138
V67.6,-34.867424,25.306606,12.632774
V68.9,-10.594383,11.086288,-25.269331
610.3,3.9999268,-23.009548,46.940845
610.2,-2.7502193,-28.751638,42.66646
627.4,-21.104868,-3.4468203,22.923502
627.2,-16.71382,-7.4389315,15.400095
V26.0,26.435074,-18.802067,-11.926983
621.9,-5.713388,-38.307842,2.5635371
646.9,11.21372,-16.56647,-6.656143
V65.3,25.005365,-19.815418,21.352222
640.03,9.825378,-40.706333,-17.235313
621.2,-9.695549,-30.68087,-0.81501883
587,10.760577,33.474438,-0.17906564
E000.8,25.043869,11.498864,39.64815
V87.2,-9.08322,26.035704,-37.42869
518.83,25.45726,27.502037,-26.9191
518.84,19.392233,30.763039,-21.322071
721.42,-7.820141,15.84931,40.223885
V85.54,-30.797987,28.350883,-25.072037
786.52,12.830611,7.315403,-16.09066
618.9,-28.950249,-22.970833,29.48713
618.2,-37.674026,-29.195417,18.750153
618.4,-31.90877,-32.124218,25.392838
V45.79,5.5216823,11.732818,14.212586
V46.3,25.589546,35.285866,12.378912
617.9,-8.41078,-16.845667,-8.353797
847.1,3.6498067,9.4201565,43.234985
746.1,-3.7331083,46.446213,21.818747
V72.61,-20.425602,10.106744,-41.403267
V85.22,20.780153,-9.725007,26.007833
V85.23,15.127904,-16.813246,20.43098
V85.21,12.280925,-7.647724,19.79779
V85.24,21.186556,-11.119497,16.952944
V85.25,15.409528,-14.752343,10.69625
682.7,-6.3151345,27.074997,-5.0058007
518,26.227583,23.355381,-36.934856
590.9,27.3041,26.738384,-5.3895164
V26.81,31.91828,-32.408287,-4.753501
V76.19,-12.635887,-23.339945,22.779545
V76.12,-10.288214,-14.448332,27.897787
V76.11,-15.273014,-20.207726,32.2571
V10.44,-22.232826,10.785488,28.089352
V10.43,-17.120394,5.737375,31.659063
V76.46,-11.825865,-3.0329697,31.23972
V25.9,14.047378,-37.275463,22.787983
V67.59,-4.7637954,18.832407,2.8482492
515,5.612688,24.90335,-26.847872
795,-11.855543,-1.8990843,6.558164
590.8,31.92988,33.13843,-15.990683
596.7,36.748257,19.951868,2.2594035
596.59,-34.959736,-4.4470124,28.513899
596.1,39.012833,23.535309,25.626984
V15.59,18.987854,12.100165,30.67637
V23.85,-14.416527,-45.797035,-22.07172
789.02,-6.5891085,11.608018,10.0986805
366.12,-8.074328,-4.163475,42.813156
648.74,-16.593536,-5.205602,-7.7509212
644.2,-6.512672,-30.71231,-43.562763
626.8,-3.7898998,-30.08122,6.20125
564.1,-14.261312,8.143321,6.8822412
518.1,7.240784,15.608164,-31.416147
V12.2,2.690185,12.05675,3.7563097
V11.9,21.807375,-9.097812,-25.132238
599.71,34.516182,11.895952,9.261781
786.09,8.983524,18.428116,-10.921038
