,x,y,z
279.3,0.06951781,0.062446028,-0.025885059
786.06,-0.035030756,0.120703146,-0.023535427
660.31,-1.2897239,-0.78370535,-1.2885759
372.14,0.66888297,0.6992183,-0.13428627
571.49,-0.16053076,0.09032205,-0.09680392
571.8,-0.14216702,-0.00019159126,-0.15895228
239,-0.07217658,0.080323614,-0.082801074
V70.2,-0.46182618,0.6782466,0.347112
V67.51,0.16332674,0.0047923336,0.16753668
999.9,-0.02473462,0.08464512,-0.0008338395
759.2,0.057160225,0.016584575,-0.09211247
922.4,0.22959659,-0.017327955,0.45163256
922.9,0.5176576,-0.0005667229,0.9101167
921.2,0.6124612,0.11531009,0.8994094
921.1,0.61904067,0.16512053,0.83417755
922.31,0.37772483,0.028127396,0.6842179
922.2,0.49903145,0.0060527325,0.88281864
922.1,0.53907734,0.0046865973,0.9465543
555.9,-0.025795648,0.011278801,-0.0700148
466.19,0.082798585,0.10976042,-0.07439263
451.82,-0.0024395015,0.06251651,0.035663314
451.84,0.0007728197,0.06028735,0.038357824
427.1,-0.08703936,0.19309764,-0.061770827
527.1,0.20178133,0.03677047,-0.048132803
611.1,-0.089327015,-0.32818946,-0.4040368
V84.01,-0.15350248,-0.27876863,-0.39126065
V84.02,-0.18779956,-0.2811616,-0.40568143
433.11,0.06276605,0.28163937,0.21373522
V41.2,0.58529997,0.20228863,-0.41667348
305.93,-0.39113554,0.56198263,0.2618257
305.9,-0.53336,0.7694924,0.38822663
235.1,0.2903824,0.0538375,-0.015585032
235.2,-0.14984736,-0.08130926,-0.24411325
756.15,0.29846993,-0.012116391,0.7742748
710.2,0.19557923,-0.0016622222,0.18525988
292.81,-0.23767044,0.44556466,0.25369963
E935.3,0.2547424,0.013266328,0.0423523
362.06,0.7740476,1.0105207,-0.18203257
362.04,0.7490653,0.9757684,-0.17324372
362.05,0.76116335,0.9929217,-0.17782806
448.1,0.6675598,-0.2926193,-0.0703185
284.1,-0.06497601,0.040702615,-0.085588284
524.62,0.28868487,0.124501,0.24586518
337.22,0.21161002,0.0389206,0.5019332
573.3,-0.12200238,0.045244295,-0.1045939
648.13,-1.1528572,-0.7224509,-1.1748705
572.2,-0.21374644,0.17723437,-0.043107603
842.01,0.5442824,-0.09935056,0.8981166
719.91,0.45505348,-0.1282141,1.0037178
830,0.39321965,-0.025468977,0.64569414
V45.4,0.29281107,-0.010337393,0.7347618
488.19,0.037640166,0.071987666,0.021442942
E828.2,0.57688344,0.0025490278,1.0045506
646.21,-1.1891986,-0.7226194,-1.1905519
