,x,y,z
611.1,4.270481,-39.8485,8.739036
648.13,19.966011,3.4449959,-44.015976
V45.4,4.0471897,-10.830518,19.025984
494,-20.254984,5.860465,24.580498
V15.29,17.341131,-3.965074,17.87707
V14.9,22.225615,-12.26459,19.406181
V14.6,28.95959,-3.9819233,15.58907
V72.60,-8.758606,3.506897,-12.311895
634.91,-1.9826189,11.913025,-38.262646
647.64,28.29932,13.898868,-9.152716
585.2,-18.851435,23.099209,3.3580868
585.1,-20.989408,28.02161,6.9506063
V23.81,18.318645,4.648427,-37.795883
642.52,40.260937,6.610322,-19.610086
649.13,26.615799,9.605162,-49.95946
649.03,12.732786,13.951647,-44.62519
649.04,33.32667,10.291595,-11.286292
V23.83,15.353387,11.158446,-37.581802
611.72,7.904438,-36.433376,4.363602
V73.98,-0.63208604,-3.909912,-21.223547
616.89,-2.5385854,-34.93347,-20.733942
493.91,-19.774841,-5.304072,24.06794
519.11,-21.36972,-1.5775759,19.70107
V12.72,9.956228,-1.7441816,-3.2156317
V85.37,4.643074,-7.3388095,47.71313
295.82,-33.09807,4.409744,3.7583356
V26.29,-13.539383,-9.162451,-25.82274
V45.74,13.34998,34.88374,11.527234
642.4,23.592056,11.944677,-11.690422
462,-17.144857,-8.365797,5.9892817
624.9,-8.332627,-31.70438,-23.688484
626.3,7.026326,-12.452252,-22.863832
626.5,3.2038882,-16.771229,-24.182123
627.9,6.6408052,-15.015904,-8.340305
626.7,-0.73232204,-21.410534,-26.74883
627.3,-2.2851477,-20.606115,-7.548591
839.21,-3.675383,-16.19647,3.6287673
623.9,-2.8813186,-28.30291,-19.659548
V05.9,-16.929188,17.545158,-20.926311
V67.2,11.778316,-6.7832723,2.432853
V15.52,13.183906,-16.406462,23.939003
643.21,39.510777,13.273986,-20.045185
592,3.1378407,43.33125,1.939878
625.6,-38.65504,-15.343273,8.481916
518.82,-15.842888,9.903173,28.531122
V15.1,18.183594,15.236428,20.197948
611.82,8.639255,-43.507286,9.708757
V14.7,31.382038,-2.2235408,26.774231
V45.87,-21.727472,29.849861,17.775272
614.4,24.938232,-8.849515,-13.713982
634.92,-3.5033119,6.7863264,-38.247128
648.92,34.40738,17.408525,-24.056984
648.81,36.097218,12.552162,-34.74129
648.84,23.74525,16.238995,-16.478281
648.83,30.996838,6.7915964,-44.787357
648.94,33.282566,13.417657,-16.478807
311,-16.658072,4.888003,0.41754693
V15.7,4.221666,-5.944117,-15.148956
V15.89,-1.0051423,14.031813,27.608196
V12.55,14.952583,-1.2157434,26.447598
642.51,38.496803,5.028128,-25.861315
593.9,-13.873945,22.959322,8.151776
V74.2,-4.5377097,-4.752228,-15.162186
V71.4,6.2375154,-16.590904,12.808681
V70.9,-6.416951,-2.2924106,-6.197487
V71.09,-29.023062,5.293863,-6.464417
618.89,3.0300493,12.511926,11.904064
616.5,-7.8582172,-34.152885,-18.7369
616.11,-8.194548,-26.068953,-17.989553
614.8,18.071491,-19.198837,-18.383226
579.8,10.488117,15.726989,-3.440427
745.5,17.574171,15.734169,15.475909
627.1,8.457363,-24.71586,-33.303505
V44.8,-5.547337,21.97565,34.116875
519.9,-15.472866,1.6037135,25.00702
300.3,-21.99969,1.9194523,-3.4514782
V45.51,9.447108,-6.113217,-27.228016
723.1,-4.592893,-16.729815,10.2082405
296.34,-29.136465,3.835467,-0.7996132
V67.6,20.76961,-21.162796,3.2580752
V68.9,-12.391731,14.020541,-10.235938
610.3,1.18143,-45.465527,5.8904247
610.2,0.98663306,-40.04927,1.381944
627.4,9.725289,-19.742556,-10.703436
627.2,4.133815,-20.00238,-8.971938
V26.0,-13.309119,-12.319501,-36.19144
621.9,9.476517,-17.825933,-33.545113
646.9,-9.6729,-0.42897987,-32.43519
V65.3,-4.477237,-15.738456,42.11364
640.03,2.0484147,6.443788,-38.70247
621.2,8.829196,-20.453253,-27.851591
587,-13.250319,28.342863,8.31932
E000.8,6.276058,-18.91571,17.860104
V87.2,-22.917759,2.1913872,11.922446
518.83,-11.770706,10.7541895,35.021408
518.84,-17.692617,9.916873,34.987064
721.42,-3.1384854,-11.418677,14.417406
V85.54,-24.085327,10.796111,-25.546806
786.52,-15.7545595,0.47102776,12.480391
618.9,-41.909714,-20.351425,8.083712
618.2,-41.70926,-24.946344,3.1988864
618.4,-38.966522,-26.57716,8.564396
V45.79,20.57211,-2.519858,12.928972
V46.3,3.2281137,28.342663,23.04694
617.9,15.967805,-14.724748,-22.16014
847.1,-9.299597,-15.696955,6.1850786
746.1,25.354416,16.04378,15.006254
V72.61,-9.086027,21.529919,-18.117617
V85.22,3.2470884,-15.584972,41.53389
V85.23,-0.26466036,-10.395759,42.17123
V85.21,-0.79949445,-13.535293,35.995766
V85.24,4.9067497,-11.569447,36.824276
V85.25,-0.8191821,-7.3716574,37.024673
682.7,-9.614985,9.743418,4.1503544
518,-13.696569,14.605787,39.830082
590.9,-2.2022104,20.96171,25.83226
V26.81,-18.745914,-10.6737585,-25.667032
V76.19,10.514587,-27.45784,-3.4300172
V76.12,4.8986564,-21.764492,-2.561632
V76.11,10.789876,-22.14253,-0.7373695
V10.44,22.749912,-8.734663,0.07501444
V10.43,17.944769,-10.263693,1.671112
V76.46,14.368419,-14.159347,-4.559829
V25.9,8.5906105,-0.8616386,-18.036028
V67.59,9.426541,-1.0332768,7.4466977
515,-24.02413,10.844403,24.119644
795,0.14435162,-6.950724,-4.083466
590.8,-9.112024,25.010616,11.763935
596.7,-5.6209326,31.935104,3.0902581
596.59,1.351638,24.476515,11.105854
596.1,15.49862,29.493347,10.248811
V15.59,11.965903,-14.430533,18.977047
V23.85,22.145008,-1.7086039,-39.76782
789.02,14.047724,9.84061,-0.67586493
366.12,-12.115249,-13.494223,18.103123
648.74,22.740633,15.7682085,-8.745367
644.2,16.72808,1.8847303,-52.696156
626.8,4.237895,-16.476852,-30.491734
564.1,7.14513,11.061499,0.43115905
518.1,-21.81945,14.82882,29.815601
V12.2,-4.497823,4.5926375,1.3027272
V11.9,-31.743723,-0.6068775,-6.0757475
599.71,0.21342362,32.330475,-0.14242136
786.09,-16.817818,4.873788,19.397192
V46.2,-22.578455,7.5574985,30.872643
V12.50,-28.340305,38.370453,68.7984
V12.70,13.109803,2.9655464,0.49057493
648.43,17.53511,14.72222,-49.55946
648.44,28.68524,18.603561,-14.908685
386.11,-10.844568,-8.229842,11.864098
V45.83,7.094653,-29.505775,8.696301
V72.9,-3.7310078,3.6280808,-8.520533
V70.3,-16.689697,14.431695,-16.04137
V73.89,-6.4178624,-8.479204,-17.534517
618.02,-32.753036,-21.534231,2.418667
516.31,-29.395292,7.1007233,27.982552
642.71,33.478615,8.034539,-28.749935
642.91,40.496307,8.795129,-31.652227
595.1,-13.520424,-26.944317,-8.313258
585.6,-21.908167,32.20995,12.041088
584.9,-6.0164337,22.85133,22.662514
518.89,-21.184647,10.447286,18.548166
521.02,-20.341278,-13.458217,-6.3495955
593.3,-2.0708184,39.66056,3.392149
V54.89,5.7103806,23.202215,26.672115
V65.49,-1.6431477,7.311698,-13.797004
V69.8,-22.593626,9.510852,-0.8580377
V74.1,-19.865334,19.383614,-16.248228
581.81,-25.065865,24.990046,13.126656
E927.9,1.2996376,-20.47254,15.997164
648.11,32.378986,16.495962,-30.731144
V10.83,-15.37795,-21.710257,20.201965
V10.72,13.85449,-0.38149208,11.656679
599.72,-0.24870424,27.190828,-0.84000164
V58.81,-10.9546585,14.800348,19.565636
643.83,12.879521,10.003281,-50.386616
511.1,-17.351374,12.358717,22.893824
625.1,-9.311246,-25.618015,-12.709547
V68.09,-19.205627,15.871247,-9.295834
579.1,6.2098575,11.837627,-6.0184193
594.2,-4.5713077,41.075092,-2.7647693
519.19,-17.697704,3.9729428,31.330482
V49.81,8.03938,-17.188906,-2.084737
620.1,21.850004,-19.770758,-23.213219
622.8,1.8514255,-24.137285,-31.354519
621.31,10.506748,-21.874537,-38.331425
647.63,19.417252,15.04711,-42.86354
V72.84,3.4294658,2.6349592,23.248522
V72.83,6.380483,0.286755,26.304865
V72.82,8.5665045,5.5239353,26.142347
V45.3,20.035446,3.0198505,-1.26268
618.01,-35.723934,-20.945328,8.103172
V15.83,-14.94569,23.757587,-18.521322
786.59,-12.57246,4.0542526,11.101474
V76.3,6.0321355,28.556215,-4.8137116
V72.31,-0.8284341,-10.79325,-13.326101
V69.4,-22.035608,5.36867,3.6560204
V72.4,-3.95901,-1.6077114,-31.02525
V72.41,6.1243978,-3.3944046,-22.816797
522.4,-16.58538,-9.533232,-1.6610675
629.89,4.0642333,-29.09494,-20.269875
618.6,-38.24188,-30.371464,3.0420043
610.1,6.150074,-37.44024,-1.0365971
V14.4,34.81437,-4.8419595,19.528727
V14.1,28.67332,-5.3962693,21.713776
V14.0,23.563932,-5.2734685,18.534582
V14.3,29.769081,0.6538892,20.201313
V14.2,23.881859,-0.5340867,22.528229
V27.1,27.244799,4.436717,-24.816704
V87.43,14.839105,-17.620749,5.1628757
V72.63,2.737003,2.0948086,30.521221
V72.69,-7.323779,8.14308,-14.828533
620.2,13.413005,-19.114832,-24.497795
V72.5,4.8689904,2.8860354,10.763602
585.3,-22.810488,22.049679,7.5587025
585.4,-27.152763,27.2212,7.6451025
585.5,-28.038275,31.314083,12.530471
585.9,-25.297863,34.500107,6.1669517
648.23,19.606304,8.1635275,-49.048157
512.8,-15.815279,16.792267,28.220982
517.8,-26.347645,5.9519815,21.211245
518.4,-16.735031,17.964962,20.921932
618.83,-33.822952,-14.57809,5.269348
618.09,-38.781296,-19.538237,2.24815
649.21,43.45257,10.739677,-25.651194
V45.02,-15.052512,14.772031,10.259248
600.2,-5.257375,4.4804716,10.704476
V76.43,-16.339882,-27.765194,20.77502
478.19,-19.368732,-5.910973,11.777796
V67.01,23.171068,-14.797084,-0.9682332
V65.5,-12.526342,6.553988,-6.9004846
592.1,-1.7065952,45.286606,-0.9938503
611.6,-4.21911,-15.623151,-16.898594
628.2,-13.664141,-12.061179,-31.20619
627.8,2.5131629,-16.559168,-4.808068
V15.82,12.8038435,0.94200987,21.741608
649.01,37.628677,20.59796,-28.920588
611.71,6.7812133,-30.42701,2.3856661
V23.7,22.477585,10.286627,-36.306477
493.82,-19.989105,-7.633832,17.831697
461.9,-16.018929,-11.082292,10.1798
V78.0,-15.883481,11.68097,-24.141478
641.1,25.297924,2.932264,-33.322388
641.03,21.207388,-1.5468864,-47.949608
285.9,-0.46522427,7.3219895,-2.0976956
625.71,-16.82098,-25.107777,-13.919758
V15.09,29.823332,-11.265393,19.36351
V15.08,24.412308,1.070013,16.362377
V47.2,-6.469419,7.5493345,19.466553
599.1,9.952912,23.843048,7.1370807
V45.82,-9.316696,11.543522,11.002794
V45.81,-9.999845,16.76183,11.250233
V72.7,-20.598711,-17.515675,15.116788
651.01,35.184902,1.630454,-30.030914
651.03,27.294592,-2.1140966,-44.05265
216.9,-12.056252,-24.397856,15.339597
211.3,12.164402,2.3681517,-5.9427595
611.9,2.256247,-34.843506,5.3079543
642.04,28.878351,11.798383,-21.189098
642.03,26.356789,4.8108974,-40.46392
624.01,-6.7673454,-37.08149,-25.231272
599.81,-36.67497,-25.111887,-0.8283081
V72.85,4.553665,5.8938913,15.651062
V28.1,14.232401,-2.6509402,-47.86913
V71.5,-24.762463,-0.4509651,-10.267209
V72.6,-0.6837679,-0.4809687,-4.4848914
614.3,24.469606,-12.76457,-15.526377
611.3,6.251414,-43.54456,3.2826767
611.79,2.234347,-33.04257,-0.30188972
799.21,-18.24015,0.41501006,2.4100943
789,12.579637,10.889914,-8.206552
642.33,30.921082,8.476937,-36.754375
V60.0,-37.077374,4.6798267,-6.941981
790.6,-0.8585021,9.023289,3.2477264
V25.09,3.9334922,0.7205009,-19.283873
370.33,-11.7546215,-16.855465,14.943923
715.36,-4.4818497,-6.0037203,19.86744
616.2,-2.3490214,-30.965723,-25.052225
V70.8,-20.234444,8.845429,-9.842568
V70.5,-14.288951,19.30024,-14.671411
V70.1,-24.193794,11.335409,-10.039158
623.8,2.8259888,-6.958132,-36.230793
V44.1,-6.538534,16.832191,32.680878
V44.3,16.233173,29.890842,15.272135
629.9,-4.9930873,-8.286893,-30.173586
V72.42,1.7529683,2.0788243,-42.6504
V72.86,-13.255572,-4.5228424,-23.79702
V49.83,-21.015293,23.165058,20.251143
493.92,-25.833755,-5.057384,21.531471
645.13,36.604908,19.711422,-35.345005
578.1,7.8298645,5.607731,-3.4836762
596.9,-0.5411796,31.497517,5.5469565
V10.87,13.884069,-4.8981915,9.094131
V11.0,-34.462635,7.018288,-1.7088305
625.4,1.7771068,-12.984263,-17.305222
625,-5.884041,-1.4216435,6.2733636
V72.1,-23.16248,17.744375,-28.312994
V67.1,20.602236,-19.215212,7.4138675
V67.3,-12.1252985,1.2346598,-0.4984027
V67.9,3.0281663,-2.0797586,5.8986154
621.3,18.003315,-18.832085,-31.321302
596.54,1.6504828,26.498577,17.938038
620.3,17.69733,-24.004473,-28.688993
635.9,3.3336718,16.030006,-24.85775
295.8,-36.844116,1.5726848,-1.5206192
V22.1,11.921895,6.1192102,-39.849026
646.93,16.619915,8.951126,-43.6121
V02.61,-3.9674516,14.966541,-9.5862055
V72.2,-15.941913,-10.661312,-6.313799
V71.9,-6.255862,8.666586,-5.7430086
626.1,-1.2581751,0.62173057,-27.227924
V12.42,16.776361,-11.20186,20.980518
626.9,2.2924218,-11.532099,-28.630138
617.1,21.050121,-24.759708,-20.757523
V12.09,17.686567,3.1962385,18.25885
V88.02,20.631075,-8.153586,8.562766
V15.05,32.29464,-10.112614,25.408125
629.31,3.5380604,17.92504,10.62124
V25.8,8.176795,4.6086955,-21.285507
216.4,-17.198238,-28.858036,15.216027
618.5,-33.45682,-26.845509,5.344968
648.2,7.3236046,16.70371,-25.974833
781,1.5325443,18.59331,22.435968
782,-17.641493,-23.487852,14.749886
724.2,-5.3519773,-11.597981,9.088785
649.63,14.571658,0.38487965,-41.05308
V28.4,25.346087,3.607175,-47.522903
622.11,-5.3108587,-24.544346,-33.610283
622.12,-3.6375997,-27.91535,-36.37275
646.11,42.038883,17.296112,-24.878946
V26.41,-5.7040634,-5.544003,-23.90307
V18.19,18.661444,18.083914,2.6091335
535,2.7844477,4.0307817,1.3407559
V28.6,30.937944,13.77796,-40.57591
V45.72,20.932503,-0.4426328,3.231922
V45.61,9.065141,-3.6368709,18.135376
V45.69,-9.002698,-18.227112,22.607986
626.2,9.488297,-14.130523,-28.782738
493.9,-23.437576,-10.152476,26.084585
V85.33,4.4580708,-5.1676884,41.74429
V85.36,8.191592,0.45990556,40.184414
V85.35,1.4236113,-0.388103,39.501873
V85.30,5.2594748,-5.252441,35.286076
V85.32,10.663359,-5.567419,39.144234
V85.31,8.062774,-10.484719,42.57761
V12.59,-6.058178,13.036439,15.904321
V85.38,9.357117,-3.176329,45.681995
V12.79,17.323154,4.0993133,5.76138
V13.01,8.905806,35.70009,2.345437
V13.09,6.1274548,31.03478,4.175254
622.4,4.0923834,-21.063938,-36.778217
633.91,-0.4158507,8.646059,-33.42454
588,-17.88596,29.148052,1.893698
628.9,-6.655657,-4.547141,3.0681782
644.03,24.337132,10.565284,-43.29986
644.13,27.59119,14.956352,-36.06947
592.9,1.3583342,40.19566,-2.276956
348.3,-5.4267316,16.31427,24.747616
362.02,-24.864338,25.060165,1.5153327
610.4,-2.1382287,-40.435173,6.8648424
595.2,-0.98173636,25.537554,5.052741
V12.53,-10.130921,7.8458085,24.848957
785.2,11.215122,11.236694,14.176234
787.02,11.663935,7.817021,3.9120185
V13.3,-21.77392,-24.913044,19.602806
V85.42,0.17462444,-1.80346,46.259087
V85.41,4.6867547,2.6935332,45.55868
V85.44,-0.59544545,-2.8572702,52.766594
V85.43,5.2470403,-0.7356448,50.9452
V85.45,-0.5062005,3.1954243,51.73571
V43.65,0.7433332,-5.631914,20.208666
V43.69,4.3816314,-10.081744,25.255806
V74.8,-13.206026,5.334138,-18.135956
646.53,12.693821,4.342332,-46.078354
643.13,7.42084,9.461784,-45.805138
642.94,34.336994,9.033503,-21.490534
788.1,6.7946196,23.797424,3.7501616
745.4,22.078514,18.990696,17.348587
716.98,-3.0334916,-5.252001,14.258681
V72.0,-22.972883,15.971912,-23.38651
V15.41,-38.15066,-1.9246682,-7.6642942
