,x,y,z
611.1,-1.8792604,8.280848,10.911887
648.13,-5.7551203,4.4562693,-14.843926
V45.4,0.79464024,-14.654998,-6.032119
494,5.232358,-4.500346,12.155076
V15.29,-5.24875,-7.827909,-1.3999367
V14.9,-6.1876884,-11.133625,0.1342304
V14.6,-3.5123978,-10.91079,-0.46402085
V72.60,6.2202353,-4.5362124,-1.2544537
634.91,-2.3906152,11.866161,-7.812372
647.64,6.491913,-0.98253393,-6.781164
585.2,8.756199,12.876314,-0.13160771
585.1,8.891812,12.256038,-0.47108507
V23.81,-6.5383086,5.9754786,-12.118014
642.52,7.581773,3.001352,-13.960283
649.13,-4.1519513,3.7235491,-16.534986
649.03,-4.3900557,2.37629,-9.4274435
649.04,10.333041,-0.7311158,-9.418962
V23.83,-6.2207303,6.5414157,-10.144821
611.72,-4.3057704,8.983394,10.053947
V73.98,-4.8293123,6.629085,3.0559254
616.89,-15.099151,-1.9764789,-2.897654
493.91,5.638589,-10.183281,10.250199
519.11,5.695159,-10.378659,9.845885
V12.72,-2.8549514,-7.2250185,-10.870781
V85.37,-4.473545,-6.4146166,11.166924
295.82,11.543761,5.7517004,-5.8557286
V26.29,-1.9544555,3.9435728,2.3111124
V45.74,5.034501,8.955065,6.695361
642.4,6.2986307,-0.25332,-7.4898624
462,5.2367916,-6.915287,7.9427624
624.9,-15.194982,-1.5401117,-3.380932
626.3,-6.2231255,8.144144,-2.6395864
626.5,-6.1017537,6.214803,-1.2910938
627.9,-9.310648,2.0493827,9.4565115
626.7,-10.102817,7.2181315,-1.1292118
627.3,-10.609158,2.4995172,8.738918
839.21,-3.4359965,-14.948467,-7.842283
623.9,-14.128622,0.09535705,-0.26274773
V05.9,11.812332,-6.5998187,-2.856463
V67.2,-8.6792345,-8.182524,2.798557
V15.52,-7.87176,-8.493975,-1.5938231
643.21,7.540359,2.7978742,-14.095115
592,6.655899,-7.4909434,-9.547892
625.6,0.61189216,15.091344,2.3178766
518.82,2.4871042,0.43960547,14.018153
