,x,y,z
279.3,0.026291853,0.014354538,-0.044506684
786.06,-0.06418916,0.029324494,-0.0072422214
660.31,-1.2478824,-0.9489003,-1.1535966
372.14,0.5052004,1.1452012,-0.044847086
571.49,-0.14344765,-0.04452858,-0.09189168
571.8,-0.16863942,-0.10089986,-0.16421998
239,-0.0822672,-0.023355015,-0.06559401
V70.2,-0.51890254,0.44946554,0.4917198
V67.51,0.11853051,-0.00745562,0.06745719
999.9,-0.05998985,0.004148958,-0.0031621968
759.2,0.047062587,0.03678744,-0.17492744
922.4,0.41064268,0.00059577904,0.48406708
922.9,0.64666826,0.038842473,0.735782
921.2,0.6979997,0.1294305,0.7584563
921.1,0.68560916,0.19875671,0.71077895
922.31,0.4764323,0.041093394,0.573788
922.2,0.59896,0.036718592,0.689821
922.1,0.66158986,0.042983543,0.754665
555.9,-0.051592026,-0.00996016,-0.042397276
466.19,0.011511616,0.05798292,-0.05333891
451.82,-0.021331456,-0.014638431,0.00899627
451.84,-0.012537885,-0.017288148,0.013042429
427.1,-0.06539545,0.03237159,0.0010014753
527.1,0.17331682,0.12632386,-0.17373012
611.1,-0.16465504,-0.2804173,-0.41027084
V84.01,-0.21233752,-0.28739953,-0.41563714
V84.02,-0.24436364,-0.29911113,-0.4261778
433.11,0.03278765,0.18791252,0.19386221
V41.2,0.36028183,0.43497902,-0.5071905
305.93,-0.4566175,0.38538805,0.4189108
305.9,-0.5803997,0.49814323,0.54429483
235.1,0.22466436,0.15284863,-0.1594013
235.2,-0.20277609,-0.16257896,-0.26386157
756.15,0.44245592,0.009506785,0.6065137
710.2,0.15432222,0.003542297,0.075218126
292.81,-0.272321,0.28078148,0.3226035
E935.3,0.20699671,0.06717917,-0.06696001
362.06,0.5315859,1.3285606,-0.045924347
362.04,0.5294071,1.3205978,-0.04460964
362.05,0.52423555,1.307729,-0.044461075
448.1,0.54212815,-0.03777224,-0.25355574
284.1,-0.09831862,-0.04924869,-0.09425501
524.62,0.25963858,0.17167309,0.036088835
337.22,0.27985555,0.051606473,0.41010073
573.3,-0.12932064,-0.048814293,-0.094142504
648.13,-1.130532,-0.8703675,-1.0662453
572.2,-0.1964947,0.0034473066,-0.037907284
842.01,0.6616335,-0.031792436,0.70972806
719.91,0.59999985,-0.04815399,0.7160166
830,0.4927319,0.0027867532,0.5517001
V45.4,0.4089673,0.0074756113,0.55560875
488.19,0.014414258,0.02146508,0.018846137
E828.2,0.70424867,0.041056786,0.8024072
646.21,-1.1863668,-0.9019097,-1.097617
569.9,-0.19674052,-0.15291893,-0.2460041
271.3,-0.0699538,-0.046609297,-0.08376674
301.81,-0.47972077,0.42949444,0.4734374
480.9,0.024870116,0.04010829,-0.0048682326
211.5,-0.23154843,-0.15904967,-0.25175294
V64.43,0.6223629,-0.059491314,0.7413845
V58.65,0.0320257,2.382972e-05,0.007197296
V64.41,-0.2399059,-0.19689369,-0.26545706
V54.09,0.5766043,-0.015396394,0.65600926
V54.01,0.4544505,-0.04758999,0.52124435
V42.5,0.5404314,1.3081874,-0.035066176
785.4,0.22562912,0.029378684,0.14729182
156.2,-0.20519951,-0.1594207,-0.25924796
733.6,0.034600273,0.030565405,0.020979064
E958.8,-0.40441194,0.39483157,0.44951016
671.31,-1.014018,-0.77016425,-0.9391322
783.5,-0.07298945,-0.0037695207,-0.05335581
