,x,y,z
611.1,42.113094,36.499878,-7.199918
648.13,-42.716503,54.01074,-4.5233803
V45.4,46.92727,-22.761389,19.093187
494,-21.609558,-16.902168,49.281654
V15.29,31.171165,7.3436666,25.611692
V14.9,38.387688,-24.368467,36.09748
V14.6,56.747314,-10.195751,38.548267
V72.60,1.7335805,-3.2523296,-1.350504
634.91,-60.162712,-1.8344308,22.62102
647.64,-56.297604,3.3315966,-1.3983895
585.2,33.212505,-49.33068,-5.5272856
585.1,45.49105,-40.026314,-8.007447
V23.81,-53.218998,45.879883,4.296174
642.52,-62.211956,11.731864,-47.72007
649.13,-55.219635,63.544968,0.54073334
649.03,-42.052277,28.018732,18.945866
649.04,-70.91854,1.3127942,-12.222282
V23.83,-65.12407,34.81418,3.884956
611.72,14.939955,23.053068,-12.652345
V73.98,-6.8235917,16.619976,-26.971766
616.89,-58.641945,-31.907026,-7.081514
493.91,-26.449942,-1.6580096,56.28828
519.11,-19.727629,9.34735,47.3197
V12.72,11.951974,-61.433743,-13.099881
V85.37,43.697235,26.487936,25.5726
295.82,10.916811,-64.49617,-38.566303
V26.29,-7.151512,-14.190941,-36.268944
V45.74,75.18556,13.606097,5.0199947
642.4,-42.87016,5.388746,-9.677251
462,-20.23793,1.9127622,19.95886
624.9,-68.7977,-39.898766,-13.470353
626.3,-4.130169,1.1860954,-58.84997
626.5,-2.6285899,13.085216,-45.874107
627.9,36.01727,-1.1915252,-47.975975
626.7,-1.5991526,31.039316,-44.81896
627.3,33.90336,15.690274,-40.495564
839.21,-58.98218,-32.35986,23.704535
623.9,10.68355,37.203125,-36.367672
V05.9,-15.766273,31.310024,21.080492
V67.2,-11.594214,-70.24789,19.008812
V15.52,33.771458,-27.80803,54.0172
643.21,-46.998108,11.5282135,-40.316677
592,33.913803,65.06844,23.05475
625.6,-44.28645,-31.844158,-40.218075
518.82,0.18179305,-29.723095,59.515984
V15.1,-32.6236,-49.841427,46.76723
611.82,51.51631,44.445965,-14.427091
V14.7,48.65419,-4.1705523,64.33661
V45.87,51.624958,-46.14991,22.73803
614.4,5.3067727,-24.77423,-71.70273
634.92,-66.564735,6.6258883,29.823452
648.92,-51.788704,26.796347,-40.4692
648.81,-42.119263,32.122494,-29.019293
648.84,-43.833126,-7.557649,-22.131493
648.83,-52.489765,62.029453,-17.062414
648.94,-58.865482,3.9292111,-19.737528
311,-37.354317,4.08245,19.105015
V15.7,57.708275,21.6563,-45.896076
V15.89,-25.201786,-55.852753,22.765541
V12.55,59.08076,10.7543,22.252943
642.51,-72.40227,23.290443,-38.549084
593.9,57.140343,-2.6232734,-3.4171262
V74.2,-0.71360713,8.912967,-14.6879835
V71.4,-23.812124,-35.67307,62.15237
V70.9,-25.415676,9.747515,4.3625298
V71.09,7.756588,-38.974518,-54.0662
618.89,48.928364,14.189368,-10.608822
616.5,-59.22706,-34.505028,-21.441706
616.11,24.900463,36.719074,-37.84061
614.8,19.428759,5.270579,-69.24593
579.8,-9.216433,-67.45513,-2.9081886
745.5,-35.06579,-36.670216,42.16798
627.1,-7.2632647,33.814762,-74.4255
V44.8,29.038162,-43.22532,71.375534
519.9,-5.899222,-16.63112,51.89212
300.3,8.427728,-27.753983,-40.344177
V45.51,-22.570902,2.7396533,-75.245
723.1,-37.39277,-28.57516,21.312979
296.34,10.946135,-43.715168,-39.74681
V67.6,85.25182,-12.758201,12.28296
V68.9,-9.553178,16.801046,25.800035
610.3,17.862898,48.435722,-10.323891
610.2,25.01185,33.450165,-4.780255
627.4,32.639164,-11.158921,-59.42224
627.2,22.233572,-9.002701,-48.02194
V26.0,15.938862,-5.405422,-85.65488
621.9,1.5742865,29.506832,-63.276676
646.9,-24.657587,5.73065,-15.993544
V65.3,19.8395,49.735104,10.1693
640.03,-61.463364,13.661185,18.664001
621.2,5.153293,15.451708,-60.22704
587,34.482853,-33.144726,5.168799
E000.8,-25.48721,-27.740488,75.5782
V87.2,-49.441956,-3.8639917,58.56079
518.83,38.831028,-45.535225,46.672215
518.84,15.176979,-33.707405,60.40395
721.42,-27.414732,-38.4133,11.802656
V85.54,-1.0280943,53.5725,5.57548
786.52,-21.849976,-23.474396,33.727673
618.9,-40.786587,-18.659328,-50.40985
618.2,-29.140757,-28.57491,-49.785263
618.4,-25.258167,-18.276464,-59.632576
V45.79,44.119247,1.6607842,22.813894
V46.3,29.952682,-68.00615,44.72465
617.9,35.342113,9.454838,-66.66376
847.1,-50.409245,-25.173868,13.579292
746.1,-49.999096,-38.18465,52.823334
V72.61,-20.472471,47.689533,47.043976
V85.22,9.066125,44.0789,33.76488
V85.23,19.716864,42.212906,23.431223
V85.21,4.9201403,40.371662,17.558533
V85.24,16.397392,30.171501,13.8622265
V85.25,10.233178,29.103855,28.761303
682.7,-7.674083,-28.688599,3.275963
518,47.121906,-45.96676,62.096146
590.9,27.016537,-53.59509,33.259033
V26.81,-6.4964976,73.11356,-24.298794
V76.19,23.349213,3.4653997,-18.825747
V76.12,28.148386,-0.1848255,-33.31171
V76.11,24.521152,-10.722822,-25.204504
V10.44,65.80123,-3.3129528,-21.211802
V10.43,53.71009,-6.925557,-20.704906
V76.46,40.51931,4.4998345,-24.496042
V25.9,-11.51499,38.726795,-15.984887
V67.59,19.222975,-19.278353,11.362007
515,3.202955,-2.6587634,57.01188
795,36.714806,-17.167048,-17.079884
590.8,30.125607,-34.470284,21.60553
596.7,23.937832,33.32439,67.72357
596.59,-10.131069,28.574776,69.43248
596.1,39.11485,-68.09258,20.582655
V15.59,49.01511,-23.401041,51.75206
V23.85,-35.58208,69.203575,-6.2124376
789.02,12.9967985,-28.328743,-6.396204
366.12,-41.8127,-15.142944,34.86701
648.74,-43.938385,-6.5847816,-2.5520632
644.2,-31.86559,56.04471,24.678736
626.8,-10.258051,22.805342,-55.73694
564.1,52.391396,-23.231033,-11.862533
518.1,6.66255,-9.807272,72.67589
V12.2,-86.70889,-0.90635765,-3.8501256
V11.9,25.377523,-35.276905,-42.881886
599.71,16.562822,44.853954,57.312107
786.09,-6.854811,-21.429865,37.14509
V46.2,12.709944,-17.50586,55.75594
V12.50,15.2208805,-3.021564,42.59075
V12.70,15.126378,-46.178288,-7.756962
648.43,-38.721596,41.794292,15.191909
648.44,-58.52892,-11.587319,-12.637576
386.11,-17.933935,-23.410303,17.951918
V45.83,50.86902,27.694534,-23.507618
V72.9,-5.513861,9.390714,9.830553
V70.3,-11.167782,28.739807,36.173756
V73.89,-0.7394217,-0.86673117,-23.606745
618.02,-33.145435,-38.61189,-62.4265
516.31,78.66081,6.0947995,34.254692
642.71,-50.706448,18.605282,-24.903643
642.91,-61.096764,30.49637,-28.789215
595.1,28.216082,63.145657,-43.850708
585.6,52.720055,-43.146626,8.013395
584.9,10.980948,-57.76968,33.20059
518.89,3.89904,-12.332779,40.771427
521.02,74.173225,20.703335,-24.446222
593.3,29.588385,76.793915,33.441467
V54.89,20.11215,-75.13557,34.496006
V65.49,-2.2483184,25.858385,8.173007
V69.8,10.190393,-81.88973,-3.829764
V74.1,-12.6198225,41.94037,30.915348
581.81,45.6285,-58.293407,-1.0051541
E927.9,-35.048767,-23.598063,67.365875
648.11,-35.067852,40.48627,-40.262974
V10.83,-20.733566,-39.002857,-14.194785
V10.72,13.611525,-14.462072,26.860233
599.72,2.9488142,45.52631,54.637993
V58.81,20.05088,-25.765484,37.829483
643.83,-44.25226,41.1581,30.426928
511.1,-9.370131,-33.403862,47.789265
625.1,20.89493,50.952324,-35.699383
V68.09,-25.959469,18.46392,29.414154
579.1,-7.745361,-54.98911,-12.427239
594.2,17.0443,67.77369,26.019642
519.19,-8.966304,-14.8169155,66.83095
V49.81,32.408276,-13.633132,-37.200245
620.1,22.411118,18.693441,-78.068886
622.8,0.15395407,44.332355,-53.46667
621.31,-20.667316,26.649555,-69.89485
647.63,-33.70005,26.22124,5.3324895
V72.84,13.459394,13.135626,19.87363
V72.83,14.858193,12.415733,33.74725
V72.82,3.7428174,14.802845,43.071198
V45.3,5.75482,-55.665104,2.098528
618.01,-45.23905,-32.601906,-55.374626
V15.83,-18.86798,33.310196,49.807297
786.59,-3.0740273,-20.294434,22.717684
V76.3,11.570565,17.340633,71.281395
V72.31,11.515569,1.5905788,-29.727686
V69.4,6.712069,-78.32679,11.143789
V72.4,-28.40471,5.21467,-29.667358
V72.41,-12.051746,39.11789,-30.792349
522.4,-41.216366,25.248816,58.70795
629.89,-13.649168,21.545803,-7.322581
618.6,-23.340353,-28.630558,-70.9308
610.1,20.28922,34.21005,-19.052929
V14.4,61.93875,-1.2188793,51.666164
V14.1,44.727676,-6.1397514,48.930874
V14.0,42.74036,-8.69442,33.157375
V14.3,52.1999,4.8596087,37.634525
V14.2,36.718075,4.740683,40.187943
V27.1,-69.037735,22.685076,-13.320667
V87.43,83.61883,-4.5739536,-12.934547
V72.63,22.096518,17.51623,46.190723
V72.69,11.350454,-9.742247,-10.454743
620.2,18.732038,20.415102,-61.237144
V72.5,10.083729,-3.6868007,13.206939
585.3,36.872425,-47.484066,-19.987078
585.4,48.856564,-55.812965,-16.23712
585.5,59.288414,-48.844444,-6.185524
585.9,54.449974,-39.90178,-25.560352
648.23,-39.50329,38.793148,-0.16248107
512.8,5.6095843,-25.577793,76.00726
517.8,-7.69378,4.9536986,64.74487
518.4,7.0378175,-30.003952,44.48439
